msoa_code,msoa_name,lad_code,lad_name,city,review_count,avg_sentiment_score,pct_negative,pct_neutral,pct_positive,sample_reviews
E02000052,Barnet 029,E09000003,Barnet,london,164,0.7938,4.88,1.22,93.89999999999999,"This house is in a great location with a 15 minute walk to the tube stop and only a 15 minute tube into central London. However there were quite a few issues we had to overcome throughout our stay tha | My stay at Adam's place was great. It was a small studio but very clean and comfortable, and had almost everything I needed. I loved the location; a safe, quiet and peaceful residential area with easy | I spent 3 months in this flat. It was very good, a 15-minute walk from the metro (you can also get there by bus) and close to lots of shops. The location is quiet and the accommodation is well equippe"
E02000054,Barnet 031,E09000003,Barnet,london,102,0.6916,7.84,1.96,90.2,"This booking was made on behalf of someone else who was working in the area for three weeks.  The host was communicative upon booking but on arrival the ""luxurious apartment"" was notably different to  | I stayed for almost 2 weeks in the end, in what I believe is a new venue for the host. <br/>I'll be honest, there were a few issues, but they were attended to, Fast, and I was happy with the resolutio | Our stay was good. I recommend it !"
E02000055,Barnet 032,E09000003,Barnet,london,260,0.7446,4.2299999999999995,0.77,95.0,"BAD EXPERIENCE<br/>The host contacted us about our arrival time, and we said 4pm. He then said he wasn't available until after 9pm, which didn't work for us. When we asked for a refund to make other a | Kay (and Julia, the admin/secretary at the centre) were constantly trying to be helpful to me and make the stay as good as it could have been.  I'm grateful for that.  They got really good food in for | Great place to stay 10 min away from Hendon Central station.  Worth the price!"
E02000056,Barnet 033,E09000003,Barnet,london,89,0.8013,4.49,0.0,95.50999999999999,"If I could give zero stars, I would.<br/>We arrived at the property only to be told it was fully booked. <br/>We were left standing at the door for 30 minutes, with the house manager ignoring our call | It's such a lovely place. I stayed with my mum and we had a wonderful time here. <br/>The beds are comfy and the garden is beautiful. We really enjoyed our breakfast at the dining room. You can enjoy  | loved it here! i'll definitely return. the host was superwelcoming!"
E02000057,Barnet 034,E09000003,Barnet,london,106,0.7724,3.7699999999999996,2.83,93.4,"PLEASE READ BEFORE BOOKING THIS ACCOMMODATION! <br/>I booked this for my daughter, who needed to relocate closer to King’s College Hospital towards the end of her high-risk pregnancy. The host was ful | This stay in London was everything we hoped it would be!  The place is IMMACULATE!  It's brand new and beautifully appointed.  It had everything we needed.  It's in a very quiet neighborhood with a hu | Nice place in fine location. Extremely good communication."
E02000058,Barnet 035,E09000003,Barnet,london,170,0.855,1.18,0.0,98.82,"Gap in door gave big draught making sleep on sofa bed not nice. <br/>mattress was horrible, could feel every spring. <br/>coffee table stained, floor wonky, items left behind blinds. not deep cleaned. | We had a great time at this property. The beds were super comfortable, house was clean - cobwebs are normal when the season changes in the UK and even during our stay, we came to a couple but it's the | We truly could not have chosen a better Airbnb. Shimon was very responsive at all times. The area is spectacular, lots of restaurants, bakeries, coffee shops and grocery stores! Overall our stay was a"
E02000059,Barnet 036,E09000003,Barnet,london,140,0.7471,3.5700000000000003,1.43,95.0,"It was not a good experience staying in a place with no curtains in the room, no chair, and a very dirty bedsheet. There was nothing to use as a blanket during the night, and the pillow provided was v | Perfect Airbnb stay, and perfect host. <br/>From the offset the hosts were incredibly friendly, approachable and proactive. <br/>The place is super clean. Clutter free and well thought out. <br/>Kitch | Lovely stay thank you."
E02000060,Barnet 037,E09000003,Barnet,london,252,0.786,1.9800000000000002,1.1900000000000002,96.83,"The room and bathroom were clean. Unfortunately, the room’s handle was almost broken, and the chair was also close to breaking. I informed Samana about this, and she offered to replace them.<br/>The k | We had a fantastic stay with Abraham.  First of all, great communication. They sent a video through to explain how to get into the apartment.  Secondly, it's off the main road, so really great locatio | Newly renovated, nice space.  we had 2 adults and 2 children and surprisingly found it still spacious.  Always hot water etc. thanks"
E02000061,Barnet 038,E09000003,Barnet,london,503,0.7513,4.77,0.8,94.43,"First, Airbnb gave the wrong address of Central Hotel Golders Green.  It took us 2 hours find the location given in our booking.  We almost knocked on a private residence's door.  The biggest problem  | Marcela is a a thoughtful, kind hostess. This was my first airbnb experience, and she made my stay in London so pleasant.<br/><br/>Everything was provided for in the bright, sunlit top-floor studio  | Expect to be woken up super early with bus stops below your windows. The shower is far too tiny. Most fully grown men and women will knock their elbows against wall or pod windows while arms up, washi"
E02000062,Barnet 039,E09000003,Barnet,london,157,0.802,2.55,1.27,96.17999999999999,"I booked this to see a concert at Wembley. He approved the booking but when I message him to ask questions he never replied, should have known something was wrong then. 2 days before check in still no | Candice is a sweetheart and our stay was lovely. She made us feel right at home, always available and eager to help, but at the same time giving enough privacy to make us super comfortable. The house  | Victoria always responded quickly to Amy questions we had. The penthouse was just as described and well worth the stay <br/>My deposit was reimbursed quickly once she saw how we left apartment. Defini"
